,customer_zip_code_prefix,seller_zip_code_prefix,product_weight_g,product_description_lenght,customer_seller_distance_km,payment_value,price,carrier_pickup_delay_hrs,approval_delay_hrs,product_length_cm,freight_value,product_height_cm,product_width_cm,delivery_delay_days,review_score
customer_zip_code_prefix,1.0,0.05856813184577035,0.025761262846522952,0.03102588022276461,0.6376039339707218,0.10640359987507106,0.06928416543745436,0.010314826757718519,0.02479668163855023,0.007725439694773673,0.4661934770011506,0.020114083928711488,-0.0020830097557765354,-0.13118988611459176,-0.03893513797873948
seller_zip_code_prefix,0.05856813184577035,1.0,0.094873178220646,0.001243017271887977,0.25967453413331815,0.16173721231186003,0.17518178146134344,-0.0030470385924781904,-0.01042890723055242,0.06555645744737217,0.2565715893019103,0.04945547868103544,0.07616942978816085,-0.13894068619530348,0.01959791329744978
product_weight_g,0.025761262846522952,0.094873178220646,1.0,0.09263459565652422,0.02835462845233682,0.45096956526481546,0.5148442161709615,0.08036181369742725,0.004629010757131697,0.6199097799835552,0.44725809684434764,0.532112574578745,0.6217740955760556,-0.00972356005588053,-0.015267459447179693
product_description_lenght,0.03102588022276461,0.001243017271887977,0.09263459565652422,1.0,0.026904736446368115,0.1697205729458123,0.210374098836434,-0.0020447589836412247,0.018705874190808405,-0.021677883430579067,0.11596387060355691,0.1331365397541095,-0.08360226564435674,0.008804844649157954,0.015327284821742974
customer_seller_distance_km,0.6376039339707218,0.25967453413331815,0.02835462845233682,0.026904736446368115,1.0,0.15671646035440906,0.11804444726846743,0.01743693867010506,0.019183371035061025,0.009844668789120912,0.6274020945868352,0.02104480493242765,0.00208711294590214,-0.182182120034374,-0.06588730530323193
payment_value,0.10640359987507106,0.16173721231186003,0.45096956526481546,0.1697205729458123,0.15671646035440906,1.0,0.789431506336325,0.056072217830648495,0.03438560724743603,0.22951145926755503,0.42269026759827627,0.30405770108644864,0.2316051952160916,-0.06166929186058732,-0.07207122721936673
price,0.06928416543745436,0.17518178146134344,0.5148442161709615,0.210374098836434,0.11804444726846743,0.789431506336325,1.0,0.040634068299599306,-0.0060499140812136695,0.2662560642821396,0.43250075062203136,0.32615740314699315,0.27084985175103465,-0.026975515684991506,0.009267371607256773
carrier_pickup_delay_hrs,0.010314826757718519,-0.0030470385924781904,0.08036181369742725,-0.0020447589836412247,0.01743693867010506,0.056072217830648495,0.040634068299599306,1.0,-0.07582680210435959,0.07970235079699238,0.03346069592634462,0.0691779580400668,0.05034164454974352,0.17489809339855134,-0.10535728010346648
approval_delay_hrs,0.02479668163855023,-0.01042890723055242,0.004629010757131697,0.018705874190808405,0.019183371035061025,0.03438560724743603,-0.0060499140812136695,-0.07582680210435959,1.0,-0.006113067912444014,0.030075229040850318,0.009387278548038018,-0.01273388472818373,0.062016148633867466,-0.011501281095309956
product_length_cm,0.007725439694773673,0.06555645744737217,0.6199097799835552,-0.021677883430579067,0.009844668789120912,0.22951145926755503,0.2662560642821396,0.07970235079699238,-0.006113067912444014,1.0,0.2818471243151108,0.2469866683435474,0.6317216700530306,-0.0057270214393360845,-0.015152886681424166
freight_value,0.4661934770011506,0.2565715893019103,0.44725809684434764,0.11596387060355691,0.6274020945868352,0.42269026759827627,0.43250075062203136,0.03346069592634462,0.030075229040850318,0.2818471243151108,1.0,0.2836790755677129,0.2739438636118813,-0.1448404042200842,-0.04557950436210024
product_height_cm,0.020114083928711488,0.04945547868103544,0.532112574578745,0.1331365397541095,0.02104480493242765,0.30405770108644864,0.32615740314699315,0.0691779580400668,0.009387278548038018,0.2469866683435474,0.2836790755677129,1.0,0.33695350471123936,-0.013705698874642212,-0.009857658603674133
product_width_cm,-0.0020830097557765354,0.07616942978816085,0.6217740955760556,-0.08360226564435674,0.00208711294590214,0.2316051952160916,0.27084985175103465,0.05034164454974352,-0.01273388472818373,0.6317216700530306,0.2739438636118813,0.33695350471123936,1.0,-0.01514428837449022,-0.010257184374624317
delivery_delay_days,-0.13118988611459176,-0.13894068619530348,-0.00972356005588053,0.008804844649157954,-0.182182120034374,-0.06166929186058732,-0.026975515684991506,0.17489809339855134,0.062016148633867466,-0.0057270214393360845,-0.1448404042200842,-0.013705698874642212,-0.01514428837449022,1.0,-0.15144269370492733
review_score,-0.03893513797873948,0.01959791329744978,-0.015267459447179693,0.015327284821742974,-0.06588730530323193,-0.07207122721936673,0.009267371607256773,-0.10535728010346648,-0.011501281095309956,-0.015152886681424166,-0.04557950436210024,-0.009857658603674133,-0.010257184374624317,-0.15144269370492733,1.0
