column,mean,median,std,min,max,skewness,kurtosis,iqr,cv,missing_pct,n_unique
customer_zip_code_prefix,35033.4513,24240.0,29823.199,1003.0,99990.0,0.7855,-0.781,47225.0,0.8513,0.0,14994
price,120.5964,74.9,184.0691,-3.5467,6735.0,7.8743,118.6279,94.1,1.5263,0.0,6787
freight_value,20.0299,16.31,15.7984,0.0,409.68,5.5489,57.8143,8.1,0.7887,0.0,7818
product_name_lenght,48.7632,51.0,9.9268,5.0,76.0,-0.9132,0.2155,14.0,0.2036,0.0,2439
product_description_lenght,786.1094,612.0,645.957,4.0,3992.0,2.0314,5.087,626.0,0.8217,0.0,5333
product_photos_qty,2.2055,2.0,1.6993,1.0,20.0,1.9281,4.9847,2.0,0.7705,0.0,2392
product_weight_g,2112.7945,700.0,3775.3385,0.0,40425.0,3.5913,16.1138,1500.0,1.7869,0.0,3041
product_length_cm,30.2674,25.0,16.1338,7.0,105.0,1.751,3.7218,20.0,0.533,0.0,936
product_height_cm,16.622,13.0,13.4093,2.0,105.0,2.2453,7.3397,12.0,0.8067,0.0,939
product_width_cm,23.0749,20.0,11.7091,6.0,118.0,1.7126,4.6024,15.0,0.5074,0.0,932
payment_sequential,1.0947,1.0,0.7301,1.0,29.0,15.7757,342.2916,0.0,0.6669,0.0,30
payment_installments,2.9412,2.0,2.7778,0.0,24.0,1.6198,2.5067,3.0,0.9444,0.0,25
payment_value,172.734,108.16,267.7728,0.0,13664.08,13.9662,500.3754,128.39,1.5502,0.0,29078
review_score,4.015,5.0,1.3949,1.0,5.8778,-1.2494,0.1411,1.0744,0.3474,0.0,853
seller_zip_code_prefix,24432.4606,13825.0,27478.4132,1001.0,99730.0,1.5624,0.9659,20771.0,1.1247,0.0,3065
customer_zip_lat,-21.2301,-22.9263,5.5582,-33.691,42.184,1.6538,3.3117,3.3986,-0.2618,0.0,15132
customer_zip_lng,-46.1945,-46.6325,4.0402,-72.671,-8.5779,0.0243,2.1765,4.4681,-0.0875,0.0,15131
seller_zip_lat,-22.7967,-23.4165,2.6782,-32.0747,-2.4989,2.7868,18.5149,1.8483,-0.1175,0.0,3288
seller_zip_lng,-47.2397,-46.7555,2.3297,-67.8112,-34.8551,0.5677,4.8305,2.3076,-0.0493,0.0,3288
customer_seller_distance_km,595.3518,429.86,588.4112,0.0,8677.86,1.7209,3.3189,604.095,0.9883,0.0,64410
purchase_hour_sin,-0.3313,-0.5,0.5911,-1.0,1.0,0.6584,-0.8174,0.866,-1.7842,0.0,13
purchase_hour_cos,-0.2235,-0.5,0.7006,-1.0,1.0,0.4911,-1.2923,1.366,-3.1353,0.0,13
purchase_dayofweek_sin,0.0843,0.0,0.6862,-0.9749,0.9749,-0.1654,-1.4121,1.2157,8.145,0.0,7
purchase_dayofweek_cos,0.0151,-0.2225,0.7223,-0.901,1.0,-0.0261,-1.5377,1.5245,47.8672,0.0,4
purchase_month_sin,0.0774,0.0,0.6948,-1.0,1.0,-0.1267,-1.4893,1.366,8.973,0.0,7
purchase_month_cos,-0.1159,-0.5,0.7056,-1.0,1.0,0.2682,-1.4581,1.366,-6.0863,0.0,7
purchase_quarter,2.3564,2.0,1.063,1.0,4.0,0.1725,-1.2044,2.0,0.4511,0.0,4
approval_delay_hrs,10.581,0.35,25.956,0.0,4509.18,50.4774,7811.5954,14.83,2.4531,0.15,8067
carrier_pickup_delay_hrs,68.5525,44.36,86.1974,-4109.26,3018.3,3.7752,99.3503,66.32,1.2574,1.76,22148
actual_delivery_days,12.488,10.2,9.449,0.53,209.63,3.8515,40.001,8.81,0.7566,2.87,5035
estimated_delivery_days,23.8646,23.26,8.8749,1.65,155.14,1.0208,5.3731,10.08,0.3719,0.0,5001
delivery_delay_days,-11.3518,-12.06,10.166,-146.01,188.97,1.9316,28.2229,9.81,-0.8955,2.87,5848
time_decay_weight,0.7558,0.7611,0.1125,0.4621,1.0,-0.1686,-0.9147,0.1765,0.1488,0.0,633
